link,image,title,price
https://www.amazon.in/G_Pixel-Coral-8GB-128GB-Storage/dp/B0DCZG53GT/ref=sr_1_1?dib=eyJ2IjoiMSJ9.l6cbI7S5mHhIM4FrhFdEtZRg7Vm1qop6NUyINbeRbTSQqc7v87pMpQvOZJLi_pcD1CunwtsTjotmNZ-Dc0eNgYyTjIirBMXk3awk4KuRDwtyc5aNkLAnaC0KGpRnKelrA1ZLyu9lt8liyjNEcp4fdKOkEZ3hQnerP0oORi8JlCd3Rocz1bt-3HZS2q84VRDOlHK-bc-ThUezh3LUDblPpioEmIgD7nTjSA4Zp0cuTZg.SH_N_8QExF_2TEDipjjTOASLO_xpa2rWpcn60pjj0nA&dib_tag=se&keywords=pixel+7a&qid=1727091567&sr=8-1,https://m.media-amazon.com/images/I/51ayRxSifqL._AC_UY218_.jpg,"G_Pixel 7a 5G (Coral, 8GB RAM, 128GB Storage)","33,990"
https://www.amazon.in/Sea-8GB-RAM-128GB-Storage/dp/B0D6M11Q19/ref=sr_1_2?dib=eyJ2IjoiMSJ9.l6cbI7S5mHhIM4FrhFdEtZRg7Vm1qop6NUyINbeRbTSQqc7v87pMpQvOZJLi_pcD1CunwtsTjotmNZ-Dc0eNgYyTjIirBMXk3awk4KuRDwtyc5aNkLAnaC0KGpRnKelrA1ZLyu9lt8liyjNEcp4fdKOkEZ3hQnerP0oORi8JlCd3Rocz1bt-3HZS2q84VRDOlHK-bc-ThUezh3LUDblPpioEmIgD7nTjSA4Zp0cuTZg.SH_N_8QExF_2TEDipjjTOASLO_xpa2rWpcn60pjj0nA&dib_tag=se&keywords=pixel+7a&qid=1727091567&sr=8-2,https://m.media-amazon.com/images/I/61wVdErStAL._AC_UY218_.jpg,"7a 5G (Sea, 8GB RAM, 128GB Storage)","34,999"
https://www.amazon.in/7a-Charcoal-128-GB-RAM/dp/B0D76BLYXS/ref=sr_1_3?dib=eyJ2IjoiMSJ9.l6cbI7S5mHhIM4FrhFdEtZRg7Vm1qop6NUyINbeRbTSQqc7v87pMpQvOZJLi_pcD1CunwtsTjotmNZ-Dc0eNgYyTjIirBMXk3awk4KuRDwtyc5aNkLAnaC0KGpRnKelrA1ZLyu9lt8liyjNEcp4fdKOkEZ3hQnerP0oORi8JlCd3Rocz1bt-3HZS2q84VRDOlHK-bc-ThUezh3LUDblPpioEmIgD7nTjSA4Zp0cuTZg.SH_N_8QExF_2TEDipjjTOASLO_xpa2rWpcn60pjj0nA&dib_tag=se&keywords=pixel+7a&qid=1727091567&sr=8-3,https://m.media-amazon.com/images/I/61+7SewjTKL._AC_UY218_.jpg,"7a (Charcoal, 128 GB) (8 GB RAM)","33,999"
https://www.amazon.in/7a-5G-Coral-128-RAM/dp/B0D6LZC4DC/ref=sr_1_4?dib=eyJ2IjoiMSJ9.l6cbI7S5mHhIM4FrhFdEtZRg7Vm1qop6NUyINbeRbTSQqc7v87pMpQvOZJLi_pcD1CunwtsTjotmNZ-Dc0eNgYyTjIirBMXk3awk4KuRDwtyc5aNkLAnaC0KGpRnKelrA1ZLyu9lt8liyjNEcp4fdKOkEZ3hQnerP0oORi8JlCd3Rocz1bt-3HZS2q84VRDOlHK-bc-ThUezh3LUDblPpioEmIgD7nTjSA4Zp0cuTZg.SH_N_8QExF_2TEDipjjTOASLO_xpa2rWpcn60pjj0nA&dib_tag=se&keywords=pixel+7a&qid=1727091567&sr=8-4,https://m.media-amazon.com/images/I/51-hQraXndL._AC_UY218_.jpg,"7a 5G (Coral, 128 GB) (8 GB RAM)","33,999"
https://www.amazon.in/ALVIONI-Sea-128GB-Storage-Smartphone/dp/B0D1GQ4P72/ref=sr_1_5?dib=eyJ2IjoiMSJ9.l6cbI7S5mHhIM4FrhFdEtZRg7Vm1qop6NUyINbeRbTSQqc7v87pMpQvOZJLi_pcD1CunwtsTjotmNZ-Dc0eNgYyTjIirBMXk3awk4KuRDwtyc5aNkLAnaC0KGpRnKelrA1ZLyu9lt8liyjNEcp4fdKOkEZ3hQnerP0oORi8JlCd3Rocz1bt-3HZS2q84VRDOlHK-bc-ThUezh3LUDblPpioEmIgD7nTjSA4Zp0cuTZg.SH_N_8QExF_2TEDipjjTOASLO_xpa2rWpcn60pjj0nA&dib_tag=se&keywords=pixel+7a&qid=1727091567&sr=8-5,https://m.media-amazon.com/images/I/51K3fA1EjFL._AC_UY218_.jpg,"ALVIONI P 7a 5G (Sea, 8GB RAM, 128GB Storage) Smartphone","35,490"
https://www.amazon.in/8GB-RAM-128GB-Storage-Snow/dp/B0DFJJZB4Z/ref=sr_1_6?dib=eyJ2IjoiMSJ9.l6cbI7S5mHhIM4FrhFdEtZRg7Vm1qop6NUyINbeRbTSQqc7v87pMpQvOZJLi_pcD1CunwtsTjotmNZ-Dc0eNgYyTjIirBMXk3awk4KuRDwtyc5aNkLAnaC0KGpRnKelrA1ZLyu9lt8liyjNEcp4fdKOkEZ3hQnerP0oORi8JlCd3Rocz1bt-3HZS2q84VRDOlHK-bc-ThUezh3LUDblPpioEmIgD7nTjSA4Zp0cuTZg.SH_N_8QExF_2TEDipjjTOASLO_xpa2rWpcn60pjj0nA&dib_tag=se&keywords=pixel+7a&qid=1727091567&sr=8-6,https://m.media-amazon.com/images/I/61Nc6h1xosL._AC_UY218_.jpg,"7a 5G 8GB RAM, 128GB Storage Snow","33,999"
https://www.amazon.in/ALVIONI-7a-Charcoal-Storage-Smartphone/dp/B0D1GPNWQX/ref=sr_1_7?dib=eyJ2IjoiMSJ9.l6cbI7S5mHhIM4FrhFdEtZRg7Vm1qop6NUyINbeRbTSQqc7v87pMpQvOZJLi_pcD1CunwtsTjotmNZ-Dc0eNgYyTjIirBMXk3awk4KuRDwtyc5aNkLAnaC0KGpRnKelrA1ZLyu9lt8liyjNEcp4fdKOkEZ3hQnerP0oORi8JlCd3Rocz1bt-3HZS2q84VRDOlHK-bc-ThUezh3LUDblPpioEmIgD7nTjSA4Zp0cuTZg.SH_N_8QExF_2TEDipjjTOASLO_xpa2rWpcn60pjj0nA&dib_tag=se&keywords=pixel+7a&qid=1727091567&sr=8-7,https://m.media-amazon.com/images/I/417eLHSKniL._AC_UY218_.jpg,"ALVIONI P 7a 5G (Charcoal, 8GB RAM, 128GB Storage) Smartphone","34,999"
https://www.amazon.in/Oneplus-Celadon-Marble-128Gb-Storage/dp/B0CX58MTNN/ref=sr_1_8?dib=eyJ2IjoiMSJ9.l6cbI7S5mHhIM4FrhFdEtZRg7Vm1qop6NUyINbeRbTSQqc7v87pMpQvOZJLi_pcD1CunwtsTjotmNZ-Dc0eNgYyTjIirBMXk3awk4KuRDwtyc5aNkLAnaC0KGpRnKelrA1ZLyu9lt8liyjNEcp4fdKOkEZ3hQnerP0oORi8JlCd3Rocz1bt-3HZS2q84VRDOlHK-bc-ThUezh3LUDblPpioEmIgD7nTjSA4Zp0cuTZg.SH_N_8QExF_2TEDipjjTOASLO_xpa2rWpcn60pjj0nA&dib_tag=se&keywords=pixel+7a&qid=1727091567&sr=8-8,https://m.media-amazon.com/images/I/61nxQ62qglL._AC_UY218_.jpg,"Oneplus Nord CE4 (Celadon Marble, 8GB RAM, 128Gb Storage)","24,998"
https://www.amazon.in/OnePlus-Galactic-Silver-128GB-Storage/dp/B0BSNQ2KXF/ref=sr_1_9?dib=eyJ2IjoiMSJ9.l6cbI7S5mHhIM4FrhFdEtZRg7Vm1qop6NUyINbeRbTSQqc7v87pMpQvOZJLi_pcD1CunwtsTjotmNZ-Dc0eNgYyTjIirBMXk3awk4KuRDwtyc5aNkLAnaC0KGpRnKelrA1ZLyu9lt8liyjNEcp4fdKOkEZ3hQnerP0oORi8JlCd3Rocz1bt-3HZS2q84VRDOlHK-bc-ThUezh3LUDblPpioEmIgD7nTjSA4Zp0cuTZg.SH_N_8QExF_2TEDipjjTOASLO_xpa2rWpcn60pjj0nA&dib_tag=se&keywords=pixel+7a&qid=1727091567&sr=8-9,https://m.media-amazon.com/images/I/613SAOPmLeL._AC_UY218_.jpg,"OnePlus 11R 5G (Galactic Silver, 8GB RAM, 128GB Storage)","27,998"
https://www.amazon.in/ALVIONI-7a-Coral-Storage-Smartphone/dp/B0D1H117TG/ref=sr_1_10?dib=eyJ2IjoiMSJ9.l6cbI7S5mHhIM4FrhFdEtZRg7Vm1qop6NUyINbeRbTSQqc7v87pMpQvOZJLi_pcD1CunwtsTjotmNZ-Dc0eNgYyTjIirBMXk3awk4KuRDwtyc5aNkLAnaC0KGpRnKelrA1ZLyu9lt8liyjNEcp4fdKOkEZ3hQnerP0oORi8JlCd3Rocz1bt-3HZS2q84VRDOlHK-bc-ThUezh3LUDblPpioEmIgD7nTjSA4Zp0cuTZg.SH_N_8QExF_2TEDipjjTOASLO_xpa2rWpcn60pjj0nA&dib_tag=se&keywords=pixel+7a&qid=1727091567&sr=8-10,https://m.media-amazon.com/images/I/41PJnz18KyL._AC_UY218_.jpg,"ALVIONI P 7a 5G (Coral, 8GB RAM, 128GB Storage) Smartphone","33,999"
